alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.411616
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.421622
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.431621
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.441621
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.451621
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.461623
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.471626
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.481623
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.491622
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.501625
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.511620
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.521625
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.531626
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.541625
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.551624
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.561625
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.571625
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.581626
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.591629
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.601627
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.611624
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.621627
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.631629
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.641628
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.651630
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.661628
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.671628
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.681629
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.691631
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.701632
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.711628
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.721630
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.731630
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568632723.741632
0.000000,0.000000,0.100000,0.100000,-0.000000,0.000000,0.000000,3568632723.751631
0.000000,0.000000,0.200000,0.200000,-0.000000,0.000000,0.000000,3568632723.761631
0.000000,0.000000,0.300000,0.300000,-0.000000,0.000000,0.000000,3568632723.771635
0.000000,0.000000,0.400000,0.400000,-0.000000,0.000000,0.000000,3568632723.781632
0.000000,0.000000,0.500000,0.500000,-0.000000,0.000000,0.000000,3568632723.791633
0.000000,0.000000,0.600000,0.600000,-0.000000,0.000000,0.000000,3568632723.801634
0.000000,0.000000,0.700000,0.700000,-0.000000,0.000000,0.000000,3568632723.811630
0.000000,0.000000,0.800000,0.800000,-0.000000,0.000000,0.000000,3568632723.821633
0.000000,0.000000,0.900000,0.900000,-0.000000,0.000000,0.000000,3568632723.831640
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.841634
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.851635
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.861636
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.871635
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.881637
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.891639
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.901638
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.911633
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.921637
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.931637
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.941638
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.951640
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.961638
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.971639
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.981639
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632723.991639
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.001641
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.011639
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.021640
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.031642
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.041640
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.051641
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.061641
0.000000,0.000000,1.000000,1.000000,-0.000000,0.000000,0.000000,3568632724.071645
